Domain,Full Name,Title,LinkedIn Profile
https://exploreomni.com,Christopher Merrick,Co-Founder,https://www.linkedin.com/in/merrickchristopher/
https://www.xevant.com/,,,
https://www.highbyte.com,John Harrington,Co-Founder,http://www.linkedin.com/in/john-harrington-142906a
https://www.highbyte.com,Torey Penrod-Cambra,Co-Founder,http://www.linkedin.com/in/toreypenrod
https://www.highbyte.com,Aron Semle,Chief Technology Officer,http://www.linkedin.com/in/aron-semle-9a837910
https://www.abett.com/,Mike Hanlon,Founder and CEO,http://www.linkedin.com/in/seattle-hanlon
http://www.mtab.com,,,
https://abre.com,,,
https://rivet.work,Ryan Meitl,"Chief Executive Officer, Co-Founder",http://www.linkedin.com/in/ryan-meitl-15715426
https://rivet.work,Alison Accavitti,Co-Founder,http://www.linkedin.com/in/alisonaccavitti
https://rivet.work,Andy Lawrence,Chief Technology Officer,http://www.linkedin.com/in/andrewmlawrence
https://rivet.work,Phil Borel,Engineering Manager,http://www.linkedin.com/in/philborel
https://rivet.work,Alan Languirand,Engineering Manager,http://www.linkedin.com/in/13protons
https://www.paylode.com/,,,
https://www.cape.co/,David Hernandez,Talent Acquisition,http://www.linkedin.com/in/dhernandez
